¿¬µµ(y),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2008,200801,60824,200802,42000,200803,51358,200804,41845,200805,51203,200806,51611,200807,70226,200808,71216,200809,71514,200810,80656,200811,71010,200812,70302
2009,200901,51414,200902,40149,200903,51947,200904,50033,200905,51750,200906,52159,200907,70813,200908,71801,200909,72057,200910,81240,200911,71556,200912,70852
2010,201001,52008,201002,40747,201003,60146,201004,50630,201005,52343,201006,60349,201007,71402,201008,72349,201009,80244,201010,81826,201011,72142,201012,71438
2011,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,72028
2012,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,70218
2013,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,70808
2014,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,71404
2015,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,71953
2016,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,70141
2017,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,70732
2018,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,71325
2019,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,71918
2020,190501,60827,190502,42015,190503,61445,190504,52014,190505,61414,190506,61853,190507,80520,190508,81457,190509,81721,190510,90819,190511,81049,190512,70109
2021,199501,60434,199502,41612,199503,61016,199504,51508,199505,60830,199506,61242,199507,72300,199508,80851,199509,81148,199510,90327,199511,80635,199512,70656
